Date,Product_ID,Actual_Sales,Forecasted_Sales,Model
2023-08-08,P0001,815.0,719.5379775610355,ARIMA
2023-08-09,P0001,961.0,685.6127163435666,ARIMA
2023-08-10,P0001,935.0,660.7286693980664,ARIMA
2023-08-11,P0001,489.0,663.8204028757336,ARIMA
2023-08-12,P0001,327.0,684.8852395515356,ARIMA
2023-08-13,P0001,366.0,672.7968224029502,ARIMA
2023-08-14,P0001,433.0,680.7270139529545,ARIMA
2023-08-15,P0001,968.0,674.2523528141687,ARIMA
2023-08-16,P0001,389.0,673.1354416770265,ARIMA
2023-08-17,P0001,597.0,674.7234076150169,ARIMA
2023-08-18,P0001,651.0,676.7829132086848,ARIMA
2023-08-19,P0001,637.0,675.6219139479304,ARIMA
2023-08-20,P0001,533.0,675.7846625128052,ARIMA
2023-08-21,P0001,351.0,674.994449837938,ARIMA
2023-08-22,P0001,633.0,675.185166895058,ARIMA
2023-08-23,P0001,665.0,675.511321610069,ARIMA
2023-08-24,P0001,464.0,675.6663347256674,ARIMA
2023-08-25,P0001,1244.0,675.4740596694746,ARIMA
2023-08-26,P0001,786.0,675.4201457026035,ARIMA
2023-08-27,P0001,1113.0,675.368729273461,ARIMA
2023-08-28,P0001,1138.0,675.440129196166,ARIMA
2023-08-29,P0001,115.0,675.4829681541737,ARIMA
2023-08-30,P0001,1182.0,675.4780032151858,ARIMA
2023-08-31,P0001,360.0,675.4434692988146,ARIMA
2023-09-01,P0001,680.0,675.4364186849571,ARIMA
2023-09-02,P0001,457.0,675.4412557061262,ARIMA
2023-09-03,P0001,215.0,675.4545464243143,ARIMA
2023-09-04,P0001,556.0,675.4567260356704,ARIMA
2023-09-05,P0001,958.0,675.4518052935053,ARIMA
2023-09-06,P0001,493.0,675.4470032257369,ARIMA
2023-09-07,P0001,942.0,675.4476711670625,ARIMA
2023-09-08,P0001,635.0,675.4499258560887,ARIMA
2023-09-09,P0001,592.0,675.4514599508009,ARIMA
2023-09-10,P0001,793.0,675.4508227938016,ARIMA
2023-09-11,P0001,751.0,675.4497266825138,ARIMA
2023-09-12,P0001,938.0,675.449364189027,ARIMA
2023-09-13,P0001,847.0,675.4498160292655,ARIMA
2023-09-14,P0001,912.0,675.450221563114,ARIMA
2023-09-15,P0001,744.0,675.4502602241639,ARIMA
2023-09-16,P0001,1002.0,675.4500310436392,ARIMA
2023-09-17,P0001,688.0,675.4498875707419,ARIMA
2023-09-18,P0001,1099.0,675.4499225712648,ARIMA
2023-09-19,P0001,693.0,675.4500274521223,ARIMA
2023-09-20,P0001,766.0,675.4500653324915,ARIMA
2023-09-21,P0001,688.0,675.4500338636288,ARIMA
2023-09-22,P0001,1067.0,675.4499917932766,ARIMA
2023-09-23,P0001,868.0,675.4499856076402,ARIMA
2023-09-24,P0001,376.0,675.4500044935255,ARIMA
2023-09-25,P0001,641.0,675.4500195103815,ARIMA
2023-09-26,P0001,859.0,675.450017587815,ARIMA
2023-09-27,P0001,807.0,675.4500084939648,ARIMA
2023-09-28,P0001,860.0,675.4500039511148,ARIMA
2023-09-29,P0001,536.0,675.4500064082492,ARIMA
2023-09-30,P0001,555.0,675.4500103013188,ARIMA
2023-10-01,P0001,434.0,675.4500112877188,ARIMA
2023-10-02,P0001,493.0,675.4500096921463,ARIMA
2023-10-03,P0001,824.0,675.4500082311529,ARIMA
2023-10-04,P0001,891.0,675.450008227842,ARIMA
2023-10-05,P0001,341.0,675.4500090435185,ARIMA
2023-10-06,P0001,724.0,675.4500095213178,ARIMA
2023-10-07,P0001,702.0,675.4500093576357,ARIMA
2023-10-08,P0001,259.0,675.4500089946404,ARIMA
2023-10-09,P0001,623.0,675.4500088724483,ARIMA
2023-10-10,P0001,646.0,675.4500089987569,ARIMA
2023-10-11,P0001,331.0,675.4500091419086,ARIMA
2023-10-12,P0001,427.0,675.4500091562893,ARIMA
2023-10-13,P0001,1095.0,675.4500090861807,ARIMA
2023-10-14,P0001,500.0,675.4500090365588,ARIMA
2023-10-15,P0001,890.0,675.4500090460654,ARIMA
2023-10-16,P0001,614.0,675.4500090789177,ARIMA
2023-10-17,P0001,1007.0,675.4500090931951,ARIMA
2023-10-18,P0001,871.0,675.450009083462,ARIMA
2023-10-19,P0001,973.0,675.4500090698637,ARIMA
2023-10-20,P0001,1020.0,675.4500090671702,ARIMA
2023-10-21,P0001,523.0,675.4500090730929,ARIMA
2023-10-22,P0001,968.0,675.4500090780692,ARIMA
2023-10-23,P0001,655.0,675.4500090777534,ARIMA
2023-10-24,P0001,235.0,675.4500090748168,ARIMA
2023-10-25,P0001,888.0,675.4500090732574,ARIMA
2023-10-26,P0001,633.0,675.4500090739532,ARIMA
2023-10-27,P0001,284.0,675.450009075226,ARIMA
2023-10-28,P0001,665.0,675.4500090755939,ARIMA
2023-10-29,P0001,480.0,675.4500090751102,ARIMA
2023-10-30,P0001,1269.0,675.4500090746208,ARIMA
2023-10-31,P0001,709.0,675.4500090745984,ARIMA
2023-11-01,P0001,707.0,675.450009074855,ARIMA
2023-11-02,P0001,757.0,675.4500090750191,ARIMA
2023-11-03,P0001,895.0,675.4500090749746,ARIMA
2023-11-04,P0001,818.0,675.4500090748577,ARIMA
2023-11-05,P0001,460.0,675.4500090748131,ARIMA
2023-11-06,P0001,372.0,675.4500090748512,ARIMA
2023-11-07,P0001,654.0,675.4500090748983,ARIMA
2023-11-08,P0001,567.0,675.4500090749051,ARIMA
2023-11-09,P0001,902.0,675.4500090748832,ARIMA
2023-11-10,P0001,603.0,675.4500090748664,ARIMA
2023-11-11,P0001,529.0,675.4500090748686,ARIMA
2023-11-12,P0001,568.0,675.4500090748792,ARIMA
2023-11-13,P0001,635.0,675.4500090748842,ARIMA
2023-11-14,P0001,608.0,675.4500090748813,ARIMA
2023-11-15,P0001,539.0,675.4500090748769,ARIMA
2023-11-16,P0001,514.0,675.4500090748759,ARIMA
2023-11-17,P0001,930.0,675.4500090748777,ARIMA
2023-11-18,P0001,1021.0,675.4500090748794,ARIMA
2023-11-19,P0001,926.0,675.4500090748794,ARIMA
2023-11-20,P0001,744.0,675.4500090748785,ARIMA
2023-11-21,P0001,603.0,675.4500090748779,ARIMA
2023-11-22,P0001,470.0,675.4500090748782,ARIMA
2023-11-23,P0001,868.0,675.4500090748786,ARIMA
2023-11-24,P0001,739.0,675.4500090748787,ARIMA
2023-11-25,P0001,944.0,675.4500090748786,ARIMA
2023-11-26,P0001,362.0,675.4500090748785,ARIMA
2023-11-27,P0001,834.0,675.4500090748785,ARIMA
2023-11-28,P0001,876.0,675.4500090748786,ARIMA
2023-11-29,P0001,827.0,675.4500090748786,ARIMA
2023-11-30,P0001,853.0,675.4500090748786,ARIMA
2023-12-01,P0001,542.0,675.4500090748786,ARIMA
2023-12-02,P0001,474.0,675.4500090748786,ARIMA
2023-12-03,P0001,586.0,675.4500090748786,ARIMA
2023-12-04,P0001,613.0,675.4500090748786,ARIMA
2023-12-05,P0001,416.0,675.4500090748786,ARIMA
2023-12-06,P0001,263.0,675.4500090748786,ARIMA
2023-12-07,P0001,530.0,675.4500090748786,ARIMA
2023-12-08,P0001,611.0,675.4500090748786,ARIMA
2023-12-09,P0001,508.0,675.4500090748786,ARIMA
2023-12-10,P0001,1054.0,675.4500090748786,ARIMA
2023-12-11,P0001,381.0,675.4500090748786,ARIMA
2023-12-12,P0001,785.0,675.4500090748786,ARIMA
2023-12-13,P0001,934.0,675.4500090748786,ARIMA
2023-12-14,P0001,727.0,675.4500090748786,ARIMA
2023-12-15,P0001,654.0,675.4500090748786,ARIMA
2023-12-16,P0001,371.0,675.4500090748786,ARIMA
2023-12-17,P0001,632.0,675.4500090748786,ARIMA
2023-12-18,P0001,567.0,675.4500090748786,ARIMA
2023-12-19,P0001,689.0,675.4500090748786,ARIMA
2023-12-20,P0001,333.0,675.4500090748786,ARIMA
2023-12-21,P0001,634.0,675.4500090748786,ARIMA
2023-12-22,P0001,953.0,675.4500090748786,ARIMA
2023-12-23,P0001,489.0,675.4500090748786,ARIMA
2023-12-24,P0001,1012.0,675.4500090748786,ARIMA
2023-12-25,P0001,492.0,675.4500090748786,ARIMA
2023-12-26,P0001,717.0,675.4500090748786,ARIMA
2023-12-27,P0001,792.0,675.4500090748786,ARIMA
2023-12-28,P0001,928.0,675.4500090748786,ARIMA
2023-12-29,P0001,538.0,675.4500090748786,ARIMA
2023-12-30,P0001,295.0,675.4500090748786,ARIMA
